start_station_name,member_casual,total_rides
"NAVY PIER",casual,42059
"DuSable Lake Shore Dr & Monroe St",casual,29462
"Michigan Ave & Oak St",casual,20146
"Canal St & Madison St",member,19729
"DuSable Lake Shore Dr & North Blvd",casual,17832
"State St & Chicago Ave",member,17720
"Clinton St & Madison St",member,17472
"Clinton St & Jackson Blvd",member,16956
"Clinton St & Washington Blvd",member,16837
"Millennium Park",casual,16286
"Wells St & Concord Ln",member,16190
"Wells St & Elm St",member,15885
"Shedd Aquarium",casual,15775
"Clark St & Elm St",member,15412
"Wells St & Huron St",member,15131
"Kingsbury St & Kinzie St",member,14332
"Theater on the Lake",casual,14215
"University Ave & 57th St",member,13901
"Wells St & Hubbard St",member,13722
"DuSable Lake Shore Dr & North Blvd",member,13575
"Canal St & Adams St",member,13421
"Kingsbury St & Erie St",member,13361
"Dusable Harbor",casual,13304
"Desplaines St & Kinzie St",member,13286
"Daley Center Plaza",member,13176
"Clark St & Armitage Ave",member,12456
"Dearborn Pkwy & Delaware Pl",member,12441
"NAVY PIER",member,12350
"McClurg Ct & Ohio St",member,12327
"Clark St & Lincoln Ave",member,12265
"Clinton St & Lake St",member,11931
"Orleans St & Merchandise Mart Plaza",member,11899
"Ravenswood Ave & Lawrence Ave",member,11848
"Columbus Dr & Randolph St",member,11612
"Broadway & Waveland Ave",member,11603
"Michigan Ave & Oak St",member,11578
"Ellis Ave & 55th St",member,11441
"Clark St & Lake St",member,11391
"Wabash Ave & Grand Ave",member,11335
"Broadway & Cornelia Ave",member,11061
"Dearborn St & Erie St",member,11026
"LaSalle St & Illinois St",member,11023
"Theater on the Lake",member,10907
"Wilton Ave & Belmont Ave",member,10860
"Halsted St & Clybourn Ave",member,10855
"Wabash Ave & Roosevelt Rd",member,10729
"New St & Illinois St",member,10725
"Ellis Ave & 60th St",member,10690
"Franklin St & Monroe St",member,10685
"Green St & Madison St",member,10661
