hour_of_day,member_casual,total_rides
0,casual,25261
0,member,19212
1,casual,15979
1,member,11003
2,casual,10115
2,member,6284
3,casual,5568
3,member,3920
4,casual,4480
4,member,5487
5,casual,8187
5,member,25498
6,casual,18755
6,member,77906
7,casual,34871
7,member,157918
8,casual,49389
8,member,193065
9,casual,48610
9,member,116829
10,casual,59972
10,member,99794
11,casual,76651
11,member,116348
12,casual,90286
12,member,133651
13,casual,93262
13,member,131814
14,casual,98077
14,member,133711
15,casual,107777
15,member,171224
16,casual,124646
16,member,246508
17,casual,131471
17,member,278181
18,casual,108655
18,member,209133
19,casual,78912
19,member,141397
20,casual,56699
20,member,98102
21,casual,48081
21,member,73823
22,casual,41180
22,member,51930
23,casual,29604
23,member,31479
