ride_month,member_casual,total_rides
2025-06,casual,45
2025-06,member,17
2025-07,casual,206471
2025-07,member,283138
2025-08,casual,219147
2025-08,member,291766
2025-09,casual,170635
2025-09,member,292844
2025-10,casual,142188
2025-10,member,271980
2025-11,casual,63620
2025-11,member,169376
2025-12,casual,18640
2025-12,member,76494
2026-01,casual,16395
2026-01,member,79743
2026-02,casual,29369
2026-02,member,116797
2026-03,casual,59802
2026-03,member,159243
2026-04,casual,86538
2026-04,member,212526
2026-05,casual,156712
2026-05,member,273882
2026-06,casual,196926
2026-06,member,306411
